"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"""Modern, Spacious 3/2/2 South Austin""",1282837,"Joseph",null,78745,30.20451,-97.7971,"Entire home/apt",191,30,90,"2021-09-30",0.86,2,230,5,null
"Mid-Century Modern East Austin- 2 Rooms in a house",2546033,"Adam",null,78723,30.30308,-97.67689,"Private room",83,2,130,"2021-09-13",1.68,1,321,19,null
"Studio on funky S 3rd St. near SOCO",10615,"Simon",null,78704,30.24492,-97.76119,"Entire home/apt",105,60,53,"2021-08-31",0.48,1,154,5,null
"Clean Room & Own Bath in 50's home",2989106,"Janet",null,78722,30.29991,-97.71398,"Private room",70,2,28,"2019-12-09",0.38,1,43,0,null
"French Place Studio",806961,"Jim",null,78722,30.29087,-97.71979,"Entire home/apt",55,30,19,"2021-09-30",0.17,2,166,3,null
"The Blue Dahlia--close to Downtown!",12409,"Flip",null,78705,30.28714,-97.75258,"Entire home/apt",65,30,31,"2020-08-01",0.3,2,308,2,null
"Charming Vintage Craftsman - East Downtown",2436512,"Crystal",null,78702,30.27191,-97.71989,"Entire home/apt",196,1,536,"2021-10-01",5.03,6,291,68,null
"Central/East Maple Guest House",3147504,"Michelle",null,78722,30.28273,-97.71702,"Entire home/apt",195,2,338,"2021-10-04",6.28,1,66,43,null
"5 Bedroom Home w/ a Putting Green & Pool Austin TX",3158297,"Tanner",null,78731,30.36089,-97.76115,"Entire home/apt",3000,2,9,"2019-03-15",0.15,1,356,0,null
"15-20 min walk ACL/Zilker; Quiet Getaway;CloseDntn",552705,"""Amanda (Marz, Nickname)""",null,78703,30.28264,-97.77104,"Entire home/apt",265,3,11,"2021-09-02",0.42,1,319,6,null
"NA Bright Cozy Gem",3179679,"Jaz",null,78703,30.27808,-97.75098,"Entire home/apt",190,3,11,"2018-09-19",0.2,1,0,0,null
"""Thistle Hill Studio, DrippingSprings""",2033896,"Leslie",null,78737,30.22072,-98.00722,"Entire home/apt",146,27,51,"2021-09-04",0.7,1,348,1,null
"""Central Austin, close to everything. Monthly rates""",3222157,"Tracey",null,78704,30.25084,-97.73897,"Entire home/apt",536,2,32,"2021-10-04",0.3,1,309,6,null
"Travis Heights Hideaway SoCo studio",2076136,"Kathleen",null,78704,30.2438,-97.73968,"Entire home/apt",92,4,688,"2021-10-11",11.38,3,329,37,null
"SXSW Downtown Austin 94 Walk Score",3262147,"Perry",null,78701,30.27508,-97.75095,"Entire home/apt",899,3,1,"2013-03-13",0.01,1,362,0,null
"Charming East Austin Bungalow",2831971,"Fred And Kellner",null,78702,30.25699,-97.73007,"Entire home/apt",236,3,126,"2021-08-22",19.79,1,33,20,null
